takeoff_name,club,takeoff_lat,takeoff_lon,telegram_group_name
Coombe,Thames Valley,51.35865,-1.4792200000000002,Thames Valley
Corn Ridge,South Devon,50.68646,-4.049189999999999,South Devon
Corndon,Long Mynd,52.56568,-3.02,Long Mynd
Corney Fell,Cumbria,54.32188,-3.32382,Cumbria
Corton Denham,Wessex,51.007525,-2.524,Wessex
Cotterside,Dales,54.3376,-2.29659,Dales
Cow Close Fell,Dales,54.15457000000001,-2.17244,Dales
Cowden,Cayley,53.863075,-0.12186,Cayley
Cowdown,Condors,50.797005,-2.51357,Condors
Cowlod,Mid Wales,52.26499,-3.23585,Mid Wales
Crag Hill,Cumbria,54.571785000000006,-3.24955,Cumbria
Cragdale Moor,Dales,54.24274,-2.1496649999999997,Dales
Craig Hulich,SMPC,56.518175,-3.799075,SMPC
Craigellachie,Highland,57.189015,-3.85102,Highland
Craiglich,Aberdeen,57.136735,-2.77367,Aberdeen
Creag An Earbaill,Highland,57.29197,-5.55068,Highland
Creag Dhubh,Highland,57.10048,-4.10193,Highland
Creag Ghleannain,Highland,57.178349999999995,-3.889825,Highland
Creag Meagaidh,Highland,56.95488,-4.533125,Highland
